month,superior_target_evaporation,superior_target_precipitation,superior_target_runoff,superior_target_nbs,michigan-huron_target_evaporation,michigan-huron_target_precipitation,michigan-huron_target_runoff,michigan-huron_target_nbs,erie_target_evaporation,erie_target_precipitation,erie_target_runoff,erie_target_nbs,ontario_target_evaporation,ontario_target_precipitation,ontario_target_runoff,ontario_target_nbs
1,104.15268448571429,51.22228571428571,31.92285714285714,-13.596769719567153,79.10482977142857,59.086285714285715,57.34,44.90906331027007,43.605346342857146,66.01057142857142,83.774,135.92126374538876,93.55532837142857,71.00285714285714,145.3657142857143,189.28371855047996
2,59.53808262857142,33.388,26.905714285714286,-0.627164837833517,42.856218857142856,43.528,50.245714285714286,49.617521160723236,21.647148914285715,58.166,84.13428571428571,186.84345177129737,51.97058737142857,59.28285714285715,131.49142857142857,187.41436325800447
3,43.5408476,41.951142857142855,37.59142857142857,51.894500676622584,31.483151885714285,55.886,77.86857142857143,112.80810058805814,17.222857657142857,71.61542857142857,117.0,281.18377086655806,37.609712314285716,65.94857142857143,198.50571428571428,347.01195870329485
4,17.0287308,54.53257142857142,77.62857142857143,142.52628373510697,11.582575514285715,73.87885714285714,113.2342857142857,174.2728445106659,7.819087999999999,84.97571428571429,110.06514285714286,269.84339255772005,15.516581885714286,79.06,241.92571428571426,421.53248350935746
5,2.6187450857142855,69.63914285714286,86.5,158.449775092871,2.4052682857142855,74.36257142857143,90.82571428571428,149.13770673112845,15.629213857142856,87.13342857142857,76.76714285714286,208.7171207134762,7.032022485714286,75.70285714285714,168.15142857142857,278.3468444952916
6,-2.790549142857143,79.44,61.21999999999999,138.61005081107868,2.532509628571429,78.18257142857142,60.56285714285714,119.61040445292402,33.545094742857145,91.85371428571429,49.64028571428572,151.20946894062322,15.233656314285714,77.16,99.72571428571429,193.68994277252355
7,-0.12879942857142865,77.21657142857143,46.29714285714286,113.97436012232423,13.276489,72.87628571428571,43.74285714285714,72.78301397686499,70.73691045714286,88.01857142857143,31.83028571428571,52.38503443774747,36.50418405714286,70.15714285714286,59.92857142857143,103.1697027362912
8,16.491906857142855,73.04857142857142,35.91428571428571,74.94351792949055,37.886337257142856,79.8742857142857,35.67142857142857,32.83220838010648,115.29661357142858,87.15428571428572,27.713714285714286,-13.57978111897617,65.36612388571429,77.53142857142856,45.47714285714286,30.13007516786399
9,52.672722428571426,81.16942857142857,37.47428571428571,49.12318254705055,65.66423628571428,84.44571428571429,37.74285714285714,9.33904044383776,158.47981919999998,95.98142857142857,34.98457142857143,-52.84565848938821,78.67087134285714,86.43142857142857,59.07142857142857,35.151490105327824
10,74.39354094285714,75.80714285714286,49.25142857142857,48.06277261762163,80.74634742857143,76.90971428571429,52.32285714285714,10.50457345796393,178.9370820285714,83.68171428571429,48.193714285714286,-49.05181543581696,83.0806676,80.13428571428571,100.17714285714285,68.86172155004478
11,100.0872206,60.476571428571425,46.705714285714286,17.840616653906668,95.15301642857143,74.52657142857143,66.10285714285715,34.88811516671655,137.39160385714285,89.2657142857143,74.24714285714286,35.12424324614951,84.05817251428572,89.15714285714286,139.72285714285715,160.6313695340894
12,118.22999168571428,53.73171428571429,39.62571428571429,-13.89001421387845,109.31655888571429,67.95685714285713,68.20285714285714,33.896902920336174,94.95170722857142,84.47542857142857,91.3757142857143,145.75631734367758,105.77361225714286,84.61999999999999,166.98285714285714,203.04623249338684
