# NAME: LAKE SUPERIOR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels and the outflow from the lake and diversions. 
# The residual net basin supplies are coordinated by the US Army Corps of Engineers
# and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1945,200.0,1360.0,4190.0,5220.0,3880.0,3430.0,3430.0,3150.0,1990.0,30.0,970.0,-740.0 
1946,480.0,320.0,3220.0,2770.0,3740.0,4360.0,2800.0,1960.0,3020.0,2420.0,700.0,-820.0 
1947,-780.0,-370.0,120.0,5800.0,5910.0,8620.0,2420.0,2800.0,1800.0,350.0,-370.0,-1260.0 
1948,-710.0,-580.0,1120.0,7750.0,2480.0,2640.0,3110.0,3100.0,240.0,-880.0,1900.0,-670.0 
1949,-20.0,-190.0,590.0,3110.0,5170.0,4990.0,4950.0,1420.0,990.0,2250.0,-310.0,-390.0 
1950,410.0,-290.0,1450.0,4300.0,9960.0,6390.0,5280.0,3540.0,2100.0,2490.0,1970.0,-1000.0 
1951,-580.0,2510.0,2180.0,6670.0,5470.0,5620.0,3410.0,4240.0,4030.0,2370.0,690.0,200.0 
1952,360.0,-440.0,950.0,5430.0,3000.0,5630.0,6740.0,3270.0,420.0,-2330.0,160.0,-740.0 
1953,90.0,570.0,1580.0,4650.0,6770.0,6950.0,4300.0,3670.0,480.0,-230.0,-210.0,-30.0 
1954,-260.0,520.0,390.0,6330.0,7460.0,5590.0,2480.0,1270.0,1760.0,400.0,390.0,-1740.0 
1955,-1140.0,270.0,1310.0,5700.0,3910.0,2760.0,3540.0,2940.0,1040.0,1620.0,1630.0,-1010.0 
1956,-170.0,-960.0,-180.0,3010.0,6100.0,3540.0,4500.0,2150.0,950.0,110.0,-40.0,-20.0 
1957,-1890.0,420.0,1530.0,5320.0,3350.0,5020.0,3290.0,1310.0,1780.0,-370.0,1390.0,-740.0 
1958,60.0,-480.0,320.0,2890.0,2430.0,4610.0,4440.0,2650.0,2410.0,440.0,1070.0,-1080.0 
1959,-740.0,60.0,810.0,3150.0,6740.0,4140.0,2460.0,5670.0,3830.0,1770.0,-930.0,-380.0 
1960,140.0,-690.0,20.0,6850.0,7280.0,3490.0,3350.0,2220.0,920.0,80.0,1650.0,-1860.0 
1961,-660.0,1120.0,1770.0,3350.0,4720.0,2850.0,2540.0,860.0,2460.0,1530.0,-190.0,-120.0 
1962,-1360.0,1390.0,790.0,2640.0,6160.0,2680.0,2460.0,3010.0,1990.0,-510.0,-1050.0,-1030.0 
1963,120.0,-300.0,1920.0,4050.0,3760.0,5610.0,2190.0,2400.0,1150.0,410.0,170.0,-1880.0 
1964,340.0,-790.0,310.0,5630.0,7480.0,4850.0,2690.0,3720.0,3360.0,330.0,1120.0,-320.0 
1965,-470.0,550.0,1290.0,4410.0,7070.0,3510.0,3600.0,3370.0,3550.0,2080.0,2350.0,360.0 
1966,150.0,320.0,2660.0,4060.0,5090.0,3320.0,3190.0,3960.0,230.0,2110.0,260.0,-130.0 
1967,670.0,250.0,1320.0,6660.0,3150.0,5340.0,2590.0,3040.0,-180.0,1920.0,-280.0,-570.0 
1968,-610.0,-430.0,2130.0,6590.0,4150.0,7230.0,6530.0,4870.0,4650.0,2820.0,-1000.0,880.0 
1969,1560.0,70.0,410.0,5650.0,4490.0,3450.0,3130.0,3270.0,400.0,470.0,-190.0,-980.0 
1970,260.0,180.0,340.0,4890.0,7450.0,4050.0,4630.0,1550.0,1990.0,3020.0,2040.0,530.0 
1971,-940.0,2520.0,1320.0,5080.0,6470.0,4770.0,2990.0,2530.0,1690.0,3060.0,1270.0,-260.0 
1972,550.0,270.0,2310.0,4240.0,5690.0,3040.0,4910.0,5510.0,3130.0,-70.0,900.0,-480.0 
1973,-460.0,150.0,3560.0,3380.0,5980.0,4210.0,3870.0,4040.0,1230.0,1230.0,-630.0,-510.0 
1974,180.0,-40.0,180.0,5510.0,4700.0,5850.0,4260.0,4150.0,1230.0,1210.0,1180.0,-200.0 
1975,780.0,580.0,180.0,3150.0,5060.0,5090.0,2730.0,890.0,1650.0,-380.0,3080.0,-590.0 
1976,-290.0,540.0,2790.0,5440.0,2500.0,4330.0,2410.0,380.0,-1330.0,-1020.0,-1620.0,-1720.0 
1977,-150.0,330.0,4130.0,3600.0,2770.0,3450.0,4070.0,3650.0,6720.0,1330.0,1700.0,550.0 
1978,-1000.0,-670.0,820.0,2380.0,4950.0,4280.0,4280.0,4550.0,1920.0,-730.0,-220.0,-780.0 
1979,-640.0,1140.0,4280.0,5620.0,7660.0,6310.0,3310.0,1840.0,1770.0,2290.0,1510.0,-1250.0 
1980,750.0,-280.0,170.0,4280.0,3160.0,3060.0,2980.0,3550.0,3250.0,710.0,-610.0,-1600.0 
1981,-660.0,2480.0,1810.0,5830.0,3290.0,6680.0,1540.0,1740.0,-310.0,1000.0,-370.0,-570.0 
