# NAME: LAKE ST CLAIR MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Michigan-Huron through the St. Clair River; the outflow 
# from Lake St. Clair through the Detroit River. The residual net basin supplies are coordinated 
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1951,160.0,430.0,370.0,370.0,180.0,220.0,170.0,140.0,70.0,50.0,110.0,440.0 
1952,500.0,310.0,430.0,370.0,150.0,120.0,150.0,100.0,130.0,-40.0,50.0,60.0 
1953,40.0,120.0,260.0,200.0,140.0,180.0,170.0,60.0,0.0,-40.0,-10.0,10.0 
1954,-70.0,430.0,390.0,340.0,150.0,200.0,100.0,10.0,80.0,230.0,40.0,80.0 
1955,300.0,210.0,400.0,210.0,110.0,120.0,150.0,10.0,180.0,180.0,60.0,150.0 
1956,60.0,70.0,390.0,340.0,770.0,210.0,180.0,280.0,230.0,150.0,40.0,50.0 
1957,80.0,60.0,100.0,280.0,220.0,70.0,260.0,100.0,170.0,70.0,70.0,190.0 
1958,-240.0,120.0,190.0,-100.0,70.0,100.0,130.0,70.0,90.0,70.0,-80.0,200.0 
1959,60.0,160.0,500.0,340.0,170.0,20.0,40.0,60.0,0.0,110.0,130.0,300.0 
1960,260.0,230.0,160.0,560.0,180.0,210.0,10.0,30.0,-10.0,-10.0,-20.0,30.0 
1961,0.0,200.0,200.0,340.0,180.0,110.0,80.0,90.0,40.0,0.0,40.0,80.0 
1962,0.0,40.0,410.0,110.0,30.0,80.0,10.0,40.0,10.0,0.0,90.0,70.0 
1963,30.0,0.0,340.0,210.0,80.0,90.0,50.0,10.0,0.0,-10.0,-30.0,120.0 
1964,50.0,70.0,270.0,230.0,120.0,60.0,60.0,80.0,30.0,-10.0,10.0,90.0 
1965,140.0,380.0,400.0,410.0,80.0,30.0,50.0,40.0,30.0,30.0,70.0,280.0 
1966,80.0,170.0,290.0,230.0,90.0,100.0,40.0,60.0,20.0,0.0,140.0,350.0 
1967,160.0,120.0,350.0,440.0,90.0,190.0,120.0,60.0,20.0,180.0,140.0,410.0 
1968,130.0,490.0,340.0,190.0,150.0,210.0,90.0,70.0,0.0,0.0,50.0,240.0 
1969,250.0,320.0,190.0,350.0,220.0,130.0,100.0,-10.0,-60.0,-10.0,90.0,60.0 
1970,30.0,100.0,220.0,280.0,80.0,40.0,70.0,-30.0,-10.0,20.0,60.0,160.0 
1971,40.0,260.0,370.0,170.0,-20.0,10.0,-60.0,-30.0,0.0,-10.0,-30.0,130.0 
1972,130.0,60.0,360.0,340.0,80.0,30.0,70.0,60.0,-10.0,20.0,180.0,250.0 
1973,300.0,130.0,720.0,190.0,100.0,130.0,20.0,0.0,-20.0,0.0,110.0,230.0 
1974,460.0,320.0,430.0,310.0,220.0,30.0,10.0,10.0,-40.0,30.0,50.0,90.0 
1975,270.0,320.0,370.0,330.0,30.0,90.0,-30.0,110.0,110.0,70.0,60.0,180.0 
1976,70.0,550.0,620.0,210.0,170.0,20.0,170.0,40.0,10.0,20.0,20.0,50.0 
1977,680.0,390.0,670.0,300.0,70.0,30.0,80.0,0.0,210.0,220.0,160.0,690.0 
1978,240.0,370.0,480.0,580.0,150.0,110.0,20.0,60.0,100.0,0.0,0.0,250.0 
1979,120.0,50.0,480.0,570.0,130.0,60.0,50.0,0.0,-10.0,-20.0,160.0,260.0 
1980,180.0,60.0,390.0,350.0,130.0,120.0,130.0,120.0,110.0,10.0,20.0,80.0 
1981,40.0,550.0,150.0,250.0,140.0,90.0,120.0,90.0,220.0,340.0,150.0,150.0 
1982,130.0,90.0,760.0,440.0,100.0,180.0,120.0,50.0,60.0,60.0,230.0,400.0 
1983,180.0,250.0,190.0,330.0,350.0,150.0,110.0,160.0,90.0,110.0,150.0,400.0 
1984,160.0,600.0,540.0,220.0,150.0,210.0,80.0,100.0,130.0,110.0,130.0,270.0 
