# NAME: LAKE MICHIGAN-HURON MONTHLY NET BASIN SUPPLIES 
# UNITS: cubic metres per second (m3/s)   
# PERIOD OF RECORD: 1900 TO 2025 
# DESCRIPTION: Residual net basin supplies (aggregate of runoff; overlake precipitation and evaporation)  
# are calculated using: lake levels; inflow from Lake Superior; the outflow from Lake Michigan-Huron 
# through St. Clair River and diversions. The residual net basin supplies are coordinated
# by the US Army Corps of Engineers and Environment and Climate Change Canada under the auspices of the 
# Coordinating Committee on Great Lakes Basic Hydraulic and Hydrologic Data      www.greatlakescc.org 
# All data for the previous 12 months should be considered provisional. 
# NBS data starting from 1 January 2009 has not yet been coordinated.
# note: -9999 means that no data is available for that date 
Year, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec 
1943,2330.0,3910.0,6980.0,8040.0,9800.0,11600.0,4550.0,2390.0,-730.0,-860.0,1230.0,-1700.0 
1944,1500.0,1670.0,4090.0,5670.0,6040.0,7080.0,2990.0,-200.0,2160.0,-1940.0,440.0,-830.0 
1945,460.0,1600.0,6180.0,6460.0,8460.0,8480.0,4020.0,1410.0,2180.0,650.0,2020.0,620.0 
1946,3530.0,3000.0,7910.0,3830.0,5790.0,5790.0,1820.0,-410.0,-220.0,-720.0,-1310.0,520.0 
1947,930.0,1660.0,3050.0,12480.0,11040.0,8250.0,4130.0,1580.0,990.0,260.0,-520.0,-2370.0 
1948,190.0,2180.0,8230.0,8310.0,6540.0,4550.0,2480.0,-70.0,-2490.0,-3380.0,3500.0,-430.0 
1949,2860.0,2560.0,2790.0,6500.0,4670.0,6520.0,3540.0,-1440.0,-1430.0,-1470.0,-1240.0,610.0 
1950,4370.0,2960.0,5730.0,9560.0,6020.0,6650.0,4830.0,1370.0,900.0,-350.0,100.0,1080.0 
1951,3030.0,4170.0,6420.0,13760.0,5760.0,5040.0,6430.0,3070.0,290.0,4390.0,3150.0,2210.0 
1952,5190.0,2520.0,5290.0,11100.0,5920.0,5600.0,6310.0,2820.0,-1790.0,-5190.0,1780.0,1820.0 
1953,1700.0,2750.0,6510.0,7320.0,6590.0,7060.0,2860.0,2100.0,-2050.0,-1030.0,-1800.0,-340.0 
1954,-300.0,3940.0,4500.0,9520.0,6350.0,9230.0,3340.0,1140.0,1950.0,7370.0,1250.0,680.0 
1955,1650.0,1620.0,3920.0,9070.0,4770.0,3810.0,1320.0,-420.0,-3730.0,1410.0,-150.0,-840.0 
1956,750.0,1530.0,4020.0,7610.0,8950.0,5080.0,4610.0,3900.0,-2060.0,-680.0,-310.0,680.0 
1957,-580.0,1810.0,3370.0,6530.0,7070.0,6780.0,5040.0,-120.0,110.0,100.0,2290.0,2720.0 
1958,1180.0,370.0,2330.0,4360.0,2010.0,4120.0,3800.0,720.0,1010.0,-1030.0,-1260.0,-1350.0 
1959,720.0,2760.0,4710.0,11100.0,7620.0,2990.0,2630.0,4820.0,640.0,2260.0,2610.0,3360.0 
1960,2640.0,3170.0,2370.0,11740.0,14070.0,7480.0,5680.0,2480.0,240.0,-1630.0,1820.0,-1790.0 
1961,-830.0,2310.0,4700.0,6100.0,4200.0,5620.0,3560.0,1610.0,3820.0,700.0,370.0,-120.0 
1962,1720.0,2880.0,4910.0,6600.0,6330.0,4170.0,2340.0,1470.0,-300.0,-560.0,-1890.0,-1040.0 
1963,-300.0,1010.0,6190.0,5810.0,6210.0,3220.0,3200.0,1930.0,-310.0,-910.0,-1160.0,-1890.0 
1964,420.0,-130.0,2280.0,6850.0,6020.0,2940.0,3210.0,920.0,720.0,-2010.0,-40.0,510.0 
1965,1350.0,2930.0,4000.0,10320.0,7380.0,3460.0,1770.0,2260.0,6080.0,980.0,2680.0,3500.0 
1966,970.0,2980.0,7090.0,5540.0,4310.0,3890.0,1280.0,330.0,-2720.0,-1400.0,4500.0,3700.0 
1967,2780.0,1960.0,4110.0,12580.0,5470.0,9170.0,2540.0,1180.0,-590.0,1560.0,2010.0,4100.0 
1968,1420.0,2290.0,4010.0,7250.0,5480.0,7480.0,3590.0,3530.0,3110.0,-1320.0,850.0,2070.0 
1969,2370.0,2090.0,3080.0,8900.0,8090.0,8910.0,5820.0,620.0,-2330.0,1370.0,1730.0,-260.0 
1970,1520.0,500.0,3490.0,8280.0,7890.0,6320.0,6280.0,-280.0,5080.0,950.0,1150.0,2420.0 
1971,1330.0,4160.0,5870.0,9060.0,6060.0,4760.0,3950.0,1590.0,420.0,710.0,-760.0,4340.0 
1972,-570.0,1890.0,4710.0,9810.0,7220.0,4690.0,5580.0,6200.0,2280.0,570.0,1570.0,3150.0 
1973,3820.0,2000.0,9580.0,8710.0,10510.0,7140.0,2970.0,3390.0,-1790.0,1180.0,-120.0,1540.0 
1974,4030.0,2710.0,5540.0,10270.0,7790.0,7760.0,3620.0,1350.0,-620.0,-170.0,1130.0,1100.0 
1975,1140.0,4720.0,4820.0,7910.0,7370.0,6980.0,2690.0,2750.0,510.0,-2380.0,2630.0,2140.0 
1976,200.0,5510.0,11110.0,8590.0,7460.0,4980.0,2810.0,-1010.0,-2150.0,-2870.0,-390.0,-2610.0 
1977,-1800.0,4040.0,8750.0,7240.0,2370.0,3740.0,3080.0,3820.0,3570.0,-470.0,3260.0,2670.0 
1978,1770.0,640.0,2840.0,8460.0,7430.0,4490.0,3750.0,3110.0,3470.0,420.0,700.0,330.0 
1979,1770.0,1920.0,10210.0,11910.0,8090.0,6520.0,2610.0,4860.0,-1960.0,670.0,3340.0,1830.0 
1980,1870.0,1180.0,2590.0,9880.0,5200.0,6440.0,3890.0,3940.0,400.0,170.0,-550.0,310.0 
1981,630.0,5810.0,3290.0,9480.0,5130.0,6370.0,2150.0,3170.0,970.0,2170.0,850.0,-80.0 
1982,2110.0,-10.0,6460.0,8950.0,6030.0,4870.0,4800.0,1720.0,2050.0,1440.0,3770.0,6370.0 
1983,1930.0,2250.0,5890.0,7840.0,11300.0,5030.0,2040.0,1800.0,110.0,830.0,1670.0,900.0 
1984,860.0,4760.0,4330.0,7380.0,7250.0,7030.0,3260.0,1870.0,1510.0,2340.0,2270.0,4620.0 
1985,1930.0,5470.0,10000.0,11820.0,7110.0,3240.0,3280.0,3290.0,2690.0,1720.0,4910.0,1980.0 
1986,1430.0,1800.0,7450.0,7220.0,6100.0,5550.0,6180.0,20.0,10470.0,3560.0,-2150.0,390.0 
1987,310.0,920.0,3470.0,4750.0,4330.0,3730.0,1630.0,2560.0,1400.0,-1810.0,1640.0,3810.0 
1988,1530.0,2200.0,3900.0,9130.0,3960.0,1320.0,2110.0,1200.0,590.0,710.0,7170.0,1250.0 
1989,1510.0,-460.0,6260.0,6540.0,6100.0,7080.0,1740.0,470.0,-2130.0,-30.0,800.0,-1000.0 
1990,3490.0,2160.0,7530.0,5160.0,8630.0,8390.0,3790.0,2490.0,990.0,2490.0,5020.0,2420.0 
1991,740.0,2100.0,8080.0,11310.0,7930.0,3200.0,2770.0,-190.0,-2630.0,4060.0,2200.0,2900.0 
1992,2610.0,2900.0,4610.0,8890.0,3450.0,3330.0,4340.0,2780.0,2800.0,1020.0,7230.0,1650.0 
1993,3550.0,1280.0,2720.0,11430.0,6600.0,9900.0,4730.0,2570.0,780.0,320.0,1520.0,740.0 
1994,1270.0,3430.0,5280.0,6410.0,5210.0,5360.0,6790.0,2860.0,1570.0,-620.0,1890.0,150.0 
1995,3480.0,-1290.0,4890.0,6500.0,8150.0,3930.0,3990.0,2850.0,-1420.0,970.0,3410.0,-160.0 
1996,4180.0,4110.0,1490.0,11430.0,9270.0,9330.0,4770.0,1590.0,3260.0,1490.0,600.0,4360.0 
1997,4070.0,6800.0,4870.0,8140.0,7630.0,5720.0,4400.0,2340.0,740.0,-1750.0,-1080.0,680.0 
1998,3900.0,1960.0,9020.0,7580.0,4810.0,4200.0,-180.0,1240.0,-1580.0,-1950.0,430.0,-1250.0 
1999,3220.0,2790.0,1780.0,6070.0,5480.0,5580.0,5050.0,-1300.0,-690.0,-3080.0,-430.0,400.0 
2000,80.0,3070.0,3710.0,4950.0,8340.0,6890.0,2910.0,1500.0,410.0,-1840.0,-750.0,390.0 
2001,1740.0,4970.0,2300.0,8620.0,8180.0,5650.0,1080.0,2020.0,2920.0,5390.0,2570.0,1840.0 
2002,-20.0,3490.0,4950.0,9480.0,7560.0,7730.0,3210.0,1500.0,-1410.0,-2980.0,-1530.0,-590.0 
2003,-1790.0,-70.0,4600.0,7070.0,7340.0,5510.0,4300.0,280.0,-1210.0,230.0,6410.0,2700.0 
2004,900.0,1390.0,7940.0,7240.0,13130.0,6760.0,4120.0,930.0,-1100.0,-510.0,220.0,2010.0 
2005,3810.0,3270.0,2850.0,6720.0,3840.0,3370.0,1380.0,520.0,280.0,-2920.0,1840.0,70.0 
2006,5510.0,1950.0,5240.0,7210.0,7520.0,2980.0,4240.0,-1030.0,-400.0,1620.0,3310.0,4620.0 
2007,2830.0,-1020.0,6420.0,6730.0,4720.0,3050.0,2670.0,1340.0,-710.0,700.0,-2580.0,820.0 
2008,6290.0,4470.0,3600.0,12080.0,6750.0,9330.0,4700.0,-640.0,2150.0,-2490.0,-200.0,5790.0 
2009,1950.0,6020.0,7280.0,9870.0,7730.0,6920.0,2650.0,2780.0,-1190.0,3590.0,950.0,60.0 
2010,10.0,1590.0,2960.0,3970.0,5330.0,8130.0,4580.0,1110.0,1000.0,-2070.0,-630.0,-130.0 
2011,750.0,1370.0,5300.0,12320.0,9420.0,6910.0,3380.0,350.0,-730.0,2540.0,1550.0,1780.0 
2012,1780.0,1250.0,7140.0,2930.0,4270.0,4220.0,1140.0,-1580.0,-3810.0,160.0,-630.0,2100.0 
2013,2320.0,4010.0,3830.0,13910.0,9040.0,6100.0,3080.0,1830.0,-530.0,830.0,3200.0,1030.0 
2014,1930.0,1970.0,3570.0,12020.0,9870.0,7640.0,3140.0,3990.0,3570.0,3550.0,2770.0,3400.0 
2015,1030.0,1330.0,2630.0,7360.0,6840.0,6650.0,2530.0,1750.0,1180.0,-1940.0,2110.0,6910.0 
2016,680.0,4070.0,9420.0,8210.0,4860.0,3980.0,2650.0,1620.0,-190.0,-400.0,-370.0,-200.0 
2017,3360.0,5160.0,5370.0,11910.0,8810.0,8950.0,4220.0,1190.0,-150.0,3020.0,420.0,300.0 
2018,2900.0,5290.0,2090.0,8350.0,9460.0,5560.0,1320.0,3270.0,-80.0,3650.0,1510.0,3050.0 
2019,2130.0,4790.0,5330.0,13510.0,12450.0,8870.0,4110.0,-320.0,5730.0,3460.0,3410.0,4700.0 
2020,5670.0,2030.0,7460.0,7730.0,9500.0,5960.0,4160.0,3320.0,330.0,1090.0,1760.0,2480.0 
2021,110.0,1800.0,3820.0,4600.0,4180.0,5720.0,5680.0,3200.0,-1140.0,2500.0,-1620.0,2140.0 
2022,-1030.0,1790.0,6950.0,10910.0,6840.0,5070.0,3080.0,1760.0,-1010.0,-110.0,-250.0,650.0 
2023,3780.0,2830.0,5500.0,11660.0,5680.0,2880.0,3260.0,2330.0,-520.0,1610.0,-900.0,2840.0 
2024,2100.0,2770.0,3520.0,10260.0,7960.0,7360.0,4360.0,40.0,-1820.0,-3740.0,650.0,1170.0 
2025,-740.0,1260.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0,-99990.0 
