# Probabilities of exceedance values for ERI
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.22",1364,1767,2554,2477,1947,1390,550,117,-126,-183,292,1335
"0.21",1466,1799,2579,2499,1960,1409,599,130,-110,-161,300,1379
"0.2",1526,1816,2596,2500,2010,1424,632,134,-98,-156,388,1382
"0.19",1594,1866,2629,2513,2014,1489,644,154,-90,-140,438,1421
"0.18",1634,1934,2667,2564,2020,1500,664,167,-83,-106,487,1460
"0.17",1668,1959,2772,2589,2029,1546,679,170,-62,-72,509,1506
"0.16",1693,1965,2791,2632,2042,1563,696,203,-25,-60,572,1520
"0.15",1760,1994,2878,2660,2050,1596,746,220,0,-56,608,1532
"0.14",1773,2058,2926,2709,2120,1639,776,233,32,-31,663,1563
"0.13",1815,2143,2948,2746,2195,1712,789,249,59,-20,688,1579
"0.12",1924,2297,2952,2786,2266,1864,802,270,167,-19,697,1651
"0.11",2065,2364,2988,2862,2471,1908,820,277,224,4,786,1664
"0.1",2282,2396,3026,2962,2520,1958,832,302,242,66,874,1682
"0.09",2324,2400,3047,2998,2574,2054,874,318,267,98,991,1833
"0.08",2496,2441,3156,3081,2582,2071,962,327,308,192,1034,1860
"0.07",2563,2683,3233,3090,2620,2083,996,426,451,223,1093,1882
"0.06",2626,2701,3299,3163,2662,2112,1047,494,571,317,1120,1947
"0.05",2686,2782,3474,3276,2680,2218,1068,552,596,402,1160,2024
"0.04",2828,2877,3521,3520,2724,2252,1336,663,734,580,1443,2062
"0.03",3114,3050,3575,3530,2856,2341,1520,803,879,607,1513,2135
"0.02",3361,3086,3723,3577,2997,2456,1744,1006,1027,832,1598,2252
"0.01",3398,3318,4157,3825,3511,2543,1853,1119,1640,1160,1723,2368
