# Probabilities of exceedance values for ONT
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.16",1700,1730,2700,3336,2463,1654,1103,522,442,700,1120,1502
"0.15",1704,1738,2766,3428,2484,1734,1140,538,450,728,1170,1514
"0.14",1716,1756,2828,3466,2535,1746,1189,556,450,808,1240,1526
"0.13",1773,1786,2859,3533,2560,1794,1218,569,459,856,1333,1583
"0.12",1782,1790,2864,3556,2574,1810,1232,572,581,870,1410,1627
"0.11",1807,1804,2915,3604,2625,1821,1250,622,594,881,1442,1698
"0.1",1820,1848,3008,3616,2694,1876,1268,680,624,906,1500,1778
"0.09",1879,1894,3065,3620,2727,1908,1305,680,665,910,1525,1869
"0.08",1950,1992,3201,3632,2811,1942,1332,690,732,931,1595,1921
"0.07",2001,2033,3220,3695,2836,1976,1360,703,770,959,1656,1930
"0.06",2149,2088,3246,3880,2870,2021,1391,736,801,1067,1676,1952
"0.05",2212,2174,3298,3966,2910,2102,1432,756,810,1192,1752,1970
"0.04",2235,2232,3372,3972,2923,2284,1480,800,991,1390,1781,1981
"0.03",2361,2293,3440,4093,3060,2397,1538,836,1013,1417,1834,2030
"0.02",2447,2310,3521,4348,3360,2554,1670,977,1093,1481,1998,2132
"0.01",2713,2381,3603,4433,3569,2850,1710,1149,1350,1553,2207,2256
