# Probabilities of exceedance values for MIH
# Computed from RNBS values from 1900 to 2024
# Units: cms
# NBS data source: //155.79.129.200/lre1-Public/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/data/NBS.csv
# Created on 2025-09-03 10:08:32 by DA9
# Code to produce probabilities found in H:/Public/SHARE/H&H/GL_H&HData & Reports/WaterBudgetTracking/NBS/NBSprob_lookup_FORECAST/UpdatePercentExceedance
#
"Probability Of Exceedance","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
"0.27",2520,3260,6420,9541,8237,7046,4276,2437,1636,1156,2285,2161
"0.26",2583,3268,6450,9750,8305,7075,4330,2488,1680,1203,2313,2203
"0.25",2610,3370,6510,9880,8340,7080,4360,2560,1700,1250,2350,2220
"0.24",2674,3444,6957,10131,8482,7130,4392,2613,1972,1380,2375,2405
"0.23",2804,3596,7033,10265,8588,7135,4472,2760,2045,1424,2428,2420
"0.22",2852,3760,7184,10306,8630,7154,4564,2770,2093,1476,2542,2506
"0.21",2870,3905,7220,10397,8630,7352,4608,2780,2148,1557,2608,2636
"0.2",3036,3952,7280,10750,8956,7392,4706,2826,2164,1612,2634,2676
"0.19",3130,4018,7329,10958,9011,7480,4748,2854,2189,1638,2650,2700
"0.18",3295,4088,7415,11074,9104,7480,4777,2860,2207,1701,2670,2714
"0.17",3431,4128,7459,11100,9185,7710,4798,2869,2256,1720,2827,2775
"0.16",3482,4162,7505,11320,9210,7773,4862,3076,2315,2153,2999,2850
"0.15",3506,4210,7554,11394,9264,7856,5030,3134,2576,2202,3154,2984
"0.14",3543,4289,7692,11430,9488,7982,5036,3189,2760,2256,3224,3116
"0.13",3568,4450,7812,11703,9645,8119,5049,3235,2906,2286,3304,3146
"0.12",3736,4694,7914,11820,9682,8154,5279,3295,3128,2358,3322,3377
"0.11",3791,4734,7990,11820,9722,8205,5478,3352,3285,2490,3365,3518
"0.1",3816,4766,8170,11874,9784,8334,5610,3396,3414,2616,3464,3562
"0.09",3887,4930,8272,11994,10027,8466,5672,3509,3554,2834,3559,3679
"0.08",4033,4996,8603,12083,10512,8619,5691,3824,3680,3183,3595,3812
"0.07",4105,5313,8750,12158,10553,8862,5935,3880,3696,3586,3824,3916
"0.06",4214,5385,8756,12374,10754,9056,6191,3922,3780,3668,4142,4234
"0.05",4344,5444,8816,12512,10938,9218,6264,4084,3916,3762,4460,4356
"0.04",4625,5472,9042,12592,11050,9253,6315,4464,4289,4073,4699,4486
"0.03",5046,5594,9628,12947,11698,9330,6511,4633,4826,4597,4941,4620
"0.02",5356,5997,9880,13453,12933,9626,6756,4841,5051,5265,5743,5228
"0.01",5738,6649,10160,13882,13464,10812,7079,5111,5840,5717,6988,6231
