cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs,seconds
2024052700,2025,3,2311.7637267082305,1185.782395534327,1373.0022479947916,299.4942541109288,366.75528163682606,658.8129848802284,537.2640237034561,383.06074919566345,1173.5104548342883,1568.3004984651777,990.7295869183022,1504.697075859197,247.02091682088752,726.0740124061259,1019.3071803264958,927.1261643123215,2678400
2024052706,2025,3,2061.427273216376,1332.5709228014553,1589.0564047157904,375.97635240883756,633.7690506711147,926.4897258990277,486.3765166524527,603.5547069672074,1429.4741608981926,1461.2424385389056,846.5185168404388,1626.4872977166824,860.2000543008702,1184.2824241613046,1546.6523512129475,1011.7633760182156,2678400
2024052712,2025,3,2764.6924635703926,1961.0222346806665,2160.2734822124053,706.068504878734,676.3558187158606,785.8463528608634,630.4610692601738,548.724778867003,1545.2382633231593,2180.6844150915463,1554.4847417747035,2264.0646497277685,1356.6032533226796,756.1336666979898,1463.5019729299886,1637.864976410926,2678400
2024052718,2025,3,2430.746312238706,1030.0849366309083,1251.9977436131649,212.08563250980131,484.8994084547269,828.2899705635332,537.6366166471465,426.7485345972312,1128.1354439079223,1518.8018030831865,858.9570235839735,1318.40751999579,-148.66363199463316,1101.1037465084585,1017.2473618580068,658.5627404965767,2678400
2024052800,2025,3,1891.2366975524992,1238.8886693011393,1259.0189346152283,265.79675075857824,596.3011343885282,950.6944233762449,494.89954909924404,569.4250796136745,1270.7992269951378,1220.9844233413296,1538.4062254717503,1608.134060721927,606.6709063638687,1281.198807006195,1345.3247575095686,1925.5558628523474,2678400
2024052806,2025,3,1885.304323701203,1361.5374464840033,1668.0197232710489,464.827711914436,886.3409889352715,1097.5283643827795,505.1093951787032,690.8681600494511,1442.6199581416704,1424.349104504658,1804.3341109114504,1965.988566566794,1144.2528460538495,1519.041641403615,1628.3787230124183,2345.9735729735867,2678400
2024052812,2025,3,2284.905841819855,863.6575719387939,1592.9535361796536,387.01973548541446,450.52980977439887,634.9925413553655,547.525246694802,443.87755990271,1288.5069894569087,1686.3849884656559,688.3624907681252,1688.13776562665,171.70526629859236,698.5026156443497,1184.8593026648168,690.1152679291192,2678400
2024052818,2025,3,1719.461466148271,1971.8562004538032,1365.6657885511424,231.89827062245513,713.596530032613,1148.2751784650932,455.5926023739779,681.5494843910984,1400.4473522748876,1049.5796035189196,1787.5603194928058,1698.3954923759204,1618.0605228566749,1629.9734378752507,1626.4042342920084,2436.3762083498063,2678400
2024052900,2025,3,2333.039424767576,1869.6880983945225,1532.7085477353257,352.4743089864599,554.2962940556288,896.7905585720172,543.0513705442617,565.6393357657652,1437.984904952004,1620.8033860094185,1457.8824679306074,1893.5667052712859,1069.3572213622724,1098.6125436411862,1460.5728701735077,1730.645787192475,2678400
2024052906,2025,3,2596.9040320837266,1582.483279652382,1497.4443656855908,396.66078336589203,461.54242168898463,814.8568322972866,545.4779183024096,434.0673473293377,1344.2538052289813,1709.1501164307456,1534.6144659055888,1767.7598527254845,483.02361325424624,879.7384706203793,1232.8432342559095,1593.224202200328,2678400
