cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs
2024060406,2025,3,67.92146,42.018566,27.077244,28.751364,89.5721,111.12209,64.916405,81.61536,167.23349,49.962425,51.12575,56.640987,1.1743469,171.94283,183.93243,57.804314
2024060412,2025,3,69.2376,39.969685,28.724031,25.301977,91.51543,119.07064,71.68556,89.31208,179.96863,47.79175,73.427505,68.06588,-0.5438843,185.28409,197.59514,93.70163
2024060418,2025,3,63.924374,52.37291,42.92293,50.474148,60.69513,62.97258,68.53708,50.85318,135.921,61.024853,71.46016,73.71033,31.371464,73.19356,118.23711,84.14563
2024060500,2025,3,68.8718,51.57526,34.20952,32.260963,54.088417,64.92722,83.270744,59.2683,147.20079,61.771893,57.2778,60.842167,16.912971,86.75468,123.19834,56.348072
2024060506,2025,3,86.01983,55.7452,30.340637,35.896236,109.17828,153.89441,86.91201,117.488625,211.31055,64.996216,94.61744,77.48205,0.06600952,227.17645,241.88715,107.10327
2024060512,2025,3,65.837845,41.387196,41.79524,49.7356,96.85365,135.96487,56.04808,66.930984,152.37392,54.023968,70.32534,86.101685,17.34459,183.08293,163.25682,102.40306
2024060518,2025,3,67.00129,34.05055,34.417698,33.83881,65.789444,74.7647,68.414345,72.57668,157.54054,54.699043,60.59861,60.754444,1.4669571,106.71533,161.70288,66.654015
2024060600,2025,3,66.84943,41.311176,35.13106,35.374313,65.34208,78.440025,77.85377,59.696285,141.8531,56.145477,59.29056,69.92187,9.592812,108.40779,123.695625,73.066956
2024060606,2025,3,63.89899,42.264767,26.28826,32.486103,93.12173,120.9006,56.611763,98.10383,185.9166,46.287136,46.49567,51.996002,4.6540337,181.53622,227.40866,52.204533
2024060612,2025,3,61.567135,34.961086,31.0456,31.179834,94.673515,123.01739,67.17329,81.55442,177.1897,43.622517,66.04348,74.4459,4.4395485,186.51106,191.57083,96.86687
2024060618,2025,3,68.92217,47.106167,29.159811,27.071321,98.34451,138.29224,70.03513,87.064316,188.56096,47.80052,76.8113,75.82753,7.3438034,209.56543,205.59015,104.8383
2024060700,2025,3,86.79828,18.014265,23.837778,37.763386,125.61769,179.1816,84.42611,144.18181,214.75468,72.756874,62.096794,55.64216,-44.946236,267.0359,274.51038,44.98208
2024060706,2025,3,67.794815,57.31592,30.117315,33.435814,86.89618,109.82732,65.80455,79.724815,175.26419,52.927372,76.109535,67.09193,19.63842,163.28769,189.18446,90.27409
2024060712,2025,3,61.01112,43.997017,34.2045,49.54452,66.93851,79.727036,65.28572,51.579887,132.48569,55.054817,43.801086,58.592476,17.190395,97.12102,118.77986,47.338745
2024060718,2025,3,62.285137,38.599583,29.123152,35.851994,96.66762,130.0537,61.108917,86.46922,172.4083,46.211983,53.338913,62.084045,5.4375954,190.86932,197.76859,69.210976
2024060800,2025,3,81.06935,48.261543,31.235304,28.788176,92.82406,120.202446,77.11154,112.640625,217.01299,60.752216,78.48369,68.0146,-1.5725021,184.23833,252.54208,85.74608
2024060806,2025,3,64.1338,49.136253,34.995735,45.174335,55.280537,67.832985,69.006195,43.096333,122.65084,55.789425,44.30464,58.817024,19.998192,77.93919,96.74098,47.33224
2024060812,2025,3,59.018497,29.804783,40.188877,43.233326,46.100483,58.33135,58.314796,39.075527,121.737175,50.08815,46.00524,66.56637,10.9751625,61.198505,102.4979,62.48346
2024060818,2025,3,64.1473,38.879875,28.615234,32.016705,62.159958,73.40011,56.8349,52.552322,149.84329,48.699833,35.508434,52.856373,3.3478088,103.54335,145.56071,39.664974
2024060900,2025,3,64.6488,41.20204,36.294548,50.95969,62.66968,67.07621,71.63382,58.89183,130.4368,58.32329,47.857494,59.674786,12.847786,78.78621,117.69481,49.20899
2024060906,2025,3,84.29139,24.989134,26.088614,23.103445,107.75198,150.1691,82.69437,110.30072,186.16768,60.842533,67.209656,62.351074,-33.213642,234.81764,213.77402,68.7182
2024060912,2025,3,77.94221,24.415388,26.202492,16.272211,96.84017,144.06961,74.73989,92.18035,179.64034,54.025352,70.847916,68.462944,-27.324326,224.63757,197.08078,85.2855
2024060918,2025,3,79.88615,46.404568,31.99485,43.83411,69.61107,79.596535,71.53706,84.894844,205.30835,66.74146,84.70571,61.798496,-1.4867325,105.373505,218.66612,79.76275
2024061000,2025,3,58.528515,37.190838,33.93282,34.582825,68.07996,82.93244,66.81628,64.00187,155.53906,48.76645,74.06538,72.21136,12.595142,116.42958,152.72464,97.510284
2024061006,2025,3,65.06435,48.421665,39.608818,44.740734,57.675488,72.183105,67.881836,37.66761,114.19364,56.321224,47.077087,66.50378,22.96614,85.11786,83.979416,57.25964
2024061012,2025,3,73.33341,27.17849,37.15971,53.004147,52.549488,48.154945,75.687035,69.51641,156.83896,64.80125,31.658047,52.007942,-8.995216,47.70029,150.66833,18.864738
2024061018,2025,3,74.31594,30.898333,29.040596,38.56165,114.08102,160.33618,62.010967,81.672424,164.55962,55.795837,47.288025,65.21811,-14.377014,235.85556,184.22107,56.710297
2024061100,2025,3,64.86724,56.79177,37.93967,46.908276,62.794743,71.699425,70.21416,66.1214,158.17662,58.21427,68.508736,67.7223,29.864204,87.58589,154.08386,78.01676
2024061106,2025,3,73.246155,63.799835,29.843084,34.96325,67.2733,80.41839,68.66781,70.60161,166.9771,59.027367,58.43046,55.37592,20.396767,112.72843,168.91089,54.779015
2024061112,2025,3,81.79973,26.718466,24.699697,26.070604,117.62029,173.37468,77.21095,114.43732,203.7168,60.274956,66.882126,68.19004,-30.381565,264.92435,240.94316,74.79722
2024061118,2025,3,70.20317,48.509613,30.835968,45.593906,71.5337,80.87251,63.44103,83.795006,199.6882,60.958317,90.67311,63.36308,9.14241,106.81232,220.04219,93.07788
