cfs_run,forecast_year,forecast_month,eri_lake,eri_land,ont_lake,ont_land,mih_lake,mih_land,sup_lake,sup_land
2024010100,2024,01,270.2332479510203,269.56638041699534,269.87363672246397,268.6705189218654,269.4572406965881,267.95490945165574,266.7552440071404,263.35887658540105
2024010100,2024,02,268.74224291017157,269.0657253915563,265.07026219429264,264.0563275761117,268.1392370941426,266.2495350914002,265.63978003967185,262.53779380820043
2024010100,2024,03,274.8341773499638,275.38702283795726,271.5987599492185,271.116251096802,272.34969846304546,271.1705410942793,269.0814949457098,266.54093750759887
2024010100,2024,04,279.00080530237705,280.00046816508365,278.29636718401366,278.31556888363406,278.08935155870824,278.1423211533133,275.5755009341474,275.43075563861066
2024010100,2024,05,286.11578204572277,288.2182555818026,286.1295632633247,287.178112004846,284.7369537711669,286.2637997282853,280.97250953291416,283.34651269329015
2024010100,2024,06,288.2027328895398,289.8094224747321,288.6412288281387,289.122674780857,287.18479330494335,288.51144543198546,283.9665540810546,287.532684337858
2024010100,2024,07,291.41433838215426,292.5953695739965,291.62582580521547,291.9136071481949,290.73197276039764,291.7407670603232,287.42174491741395,291.15384387433716
2024010100,2024,08,291.52923625471493,292.2683820623435,291.7321800518425,291.79437847718754,290.82006640429375,291.2958671428475,287.76742846912595,289.8035641785525
2024010100,2024,09,288.3045028699028,288.5581573926349,287.7992261826365,287.193039390723,287.6899632860487,287.29739363311586,285.5498013760812,286.1067300544016
2024010100,2024,10,282.3509585712944,282.13306806548417,282.12287776383823,281.15076005084956,281.5331183133771,280.69674693649625,279.4917036289818,278.4874203712578
2024010106,2024,01,268.3963996748321,267.361497185881,267.89163964962387,266.7652360173568,267.2562575364438,265.58851694081295,265.1759931465682,261.8962187586644
2024010106,2024,02,266.48397875910746,265.94641553107385,263.6845727199447,262.6621135112418,265.1861801616559,262.958718051846,262.84627568637677,259.1025197688151
2024010106,2024,03,270.80765670161344,271.06613706775363,267.28488166406777,266.38754495678046,269.95807351390147,268.31817031558245,267.8123435139014,265.32823650950115
2024010106,2024,04,276.8354014188285,277.54988301980615,275.082630156524,274.45038200159297,275.5635358095381,274.9869178794624,273.19320168918296,272.18496851470013
2024010106,2024,05,283.9535265148467,285.60188077877666,283.5876947657941,284.1381476056563,282.20464201793686,283.27362621873857,279.7669499023787,281.72491407051484
2024010106,2024,06,289.32086250287745,291.16647569878955,289.1135544312095,289.83202898245753,287.5784173775786,289.02382952004973,283.74010773527687,287.04324516754133
2024010106,2024,07,292.1269294436911,293.7150251147182,292.6664926433719,293.2400206212475,291.28551859065294,292.5119299180173,287.51819873111083,291.3758001244335
2024010106,2024,08,291.73991674337066,292.7470077650811,291.6667808182129,291.44510622638273,291.06134194950494,291.4594394169455,287.6295076713065,289.75201311402134
2024010106,2024,09,290.0672002605673,290.1560304462735,290.24409823925373,289.87413747809194,288.21538972007863,288.1799182739579,284.68462412951453,284.7667802215309
2024010106,2024,10,283.5424148467622,283.7400196964083,282.42730809025215,281.5319042409187,282.29485827931893,281.66738255902015,279.97301736452675,279.1394412438447
2024010112,2024,01,269.03780159517237,268.2041890812202,268.08328676133726,266.9474108906084,268.4331008259715,266.74318670600064,266.6700424350071,263.7281779256225
2024010112,2024,02,268.49620762916277,268.16610741396835,265.3616477796804,264.24270848450374,265.86563760477804,263.93337678404583,263.87764730858026,260.40283001204693
2024010112,2024,03,273.21398493677833,273.4383082598829,270.02728829279175,269.25617127270453,270.7366323321871,269.4198040523908,268.8273807626481,266.40685184893374
2024010112,2024,04,279.9305291804647,281.2396395415522,278.70051366313874,278.74500015849463,278.15647875551406,278.2196395057243,275.09792570853966,274.8166066568382
2024010112,2024,05,285.21177658062413,287.24821197504644,284.6324717178734,285.26768860367497,283.92457532648814,284.8990508054675,280.0389166672657,281.8069904512745
2024010112,2024,06,290.03237911047444,292.12769885993447,290.269976040579,291.22372499649333,289.387444668067,291.19735727072646,285.6643302760413,290.29732048679534
2024010112,2024,07,290.8347754801949,292.1285734137289,290.8931183311244,291.03483422942276,289.68772999808385,290.5591768195037,285.7371628531369,288.67905071896286
2024010112,2024,08,290.46305254301524,290.9831586121815,290.53473933923624,290.09386995397693,290.134024659957,290.2945797287086,287.3211848418629,289.3307814840461
2024010112,2024,09,287.69504381419296,287.90391729472907,287.8598741595389,287.22741772237805,286.85555509195626,286.3943918587665,283.94628454647676,283.81050768060425
2024010112,2024,10,284.8121689494369,285.0869777736689,283.94386727960966,283.10848447566406,283.542533884474,283.0399073064146,280.9089847664357,280.5112620441899
2024010118,2024,01,270.1696502917768,269.6096697158033,269.86290518027045,268.9054671475814,268.35754301033404,266.76515764826877,265.2886247248741,261.8214240810571
2024010118,2024,02,269.4380851068702,268.80182002903933,268.578706769875,267.6692537020178,268.03788750543384,266.3643959989049,265.90663445389373,262.89217394411077
2024010118,2024,03,270.03965311974724,269.9482429878339,267.6770580185326,266.88699581232083,268.2977307087571,266.4547270575079,265.18388770865056,261.96440318502306
2024010118,2024,04,278.40401255520055,279.1449913381728,277.3268107690813,277.09668755816534,276.4519673894786,275.9923982382319,273.7473036594545,272.71631657871495
2024010118,2024,05,282.0106471857024,283.1488990888191,281.7389841727568,281.6768630354175,281.93718912848954,282.6267229493105,280.3271739650969,282.38440750294785
2024010118,2024,06,286.1516343920982,287.2413343031364,286.24216008333485,286.3992282350023,284.8028431185921,285.59874995772776,282.03186359266874,284.5712112256739
2024010118,2024,07,292.83235197465814,294.47137785577524,292.8646830072423,293.46626104697816,291.53705063835895,292.9198312179502,287.14879419972067,291.49793993703804
