year,month,cfs_run,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs
2025,3,2024101459.0,78.62577511101162,44.01672686763048,38.1208553314209,42.823804104913776,74.67668096460076,108.3439303916043,76.66341808786164,77.59907168420558,183.41803021414523,65.83630004616,63.664501158721855,68.93101428438699,2.418692018384238,136.08000565442495,184.13190673434428,62.27165533984292
2025,4,2024102959.0,58.51519966125488,51.579924675803966,50.103151963476975,66.3923752195538,82.20801258599752,107.87247679128794,63.249168395996094,77.70228700929914,182.46218077309607,55.604237928369336,71.71298702433828,80.91614073213822,40.164154052734375,121.36872519044533,194.7272675141834,93.35552313070774
2025,5,2024111409.0,37.446160526928,66.9243427543173,50.81304106685248,106.58695359871847,92.87202640650897,71.51487406921314,64.69858169555664,85.60049046960013,130.07433319091797,49.69254639357975,85.1096251256676,70.5097264507055,77.66368659791416,53.262033751534396,143.21403538738133,101.38138196008389
2025,6,2024112959.0,25.015594411404216,76.47366198342827,41.50831358825728,120.28321659749979,95.80020284827359,48.44058720339184,67.43913856221893,86.73756007416883,87.33645505136786,43.554473876953125,94.4474954361255,51.83068391188645,95.36584280768773,26.534535374904607,108.63059869009344,105.37196427190706
2025,7,2024121459.0,21.98518157248064,76.45853982441045,38.16748386522755,118.897214437012,91.94590377807617,36.02724825494792,68.28693805360025,80.48743228480558,69.684099033524,41.16463767408346,88.92234802246094,44.0190985754047,96.45148064365091,11.233533164983427,84.95712252531511,96.12657733128157
2025,8,2024123009.0,23.53083639870963,76.30489248770121,38.41697870313254,119.17306404147351,87.29596611098376,36.47597185678707,67.83581907013999,79.86958354997869,70.0523763144039,40.678146241455885,87.09071355302015,44.054452896118164,96.42452241424891,5.649315491197882,85.53340795218318,96.4862330565789
2025,9,2025011409.0,41.48648363265404,84.31068845460081,47.68736638596508,128.91349314514014,87.64583733584364,49.5766179407015,69.80556869506836,82.25254137713377,90.06850141615706,52.14507843679446,90.84048322791472,56.151021541609566,89.4353612381535,11.334599480686371,102.80274538476556,95.65318032674526
2025,10,2025012959.0,70.79004565562329,66.00394765972698,48.85338251282133,114.56205020060494,84.34148454510859,76.32774990770872,74.17817795573944,81.41416782577232,141.88337030170092,68.86903390673783,78.87039569740013,68.96114185709379,43.80026639909323,44.95782539656216,149.1350692485429,78.48885232974781
2025,11,2025021409.0,85.56987313181773,46.667199109185844,40.922400424652935,72.76177462641232,77.29652707734607,102.48986963844015,77.11026929946689,79.00491274529756,178.06841204581926,74.0514101784769,62.71292891835738,71.00284307955212,1.509589195301018,106.72129921116274,180.0767958411783,60.46965527692062
2025,12,2025022809.0,87.2616169508121,36.951766978731925,31.99586934794801,43.20051963061697,58.0466652212105,82.80354823253244,79.99508264298348,65.96647007365948,157.42335378756937,71.65558408273613,45.08598709106445,56.55585406524925,-16.986476991189274,93.91662988767342,148.96108497896105,29.469619750976562
