cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs,seconds
2024052700,2025,3,3018.1417536857066,1420.3002432348803,1046.9239405005546,765.4422043212971,593.8382840050691,738.0425491135563,664.1181087031813,469.3121299828501,992.6387801399729,2154.1917924664017,1304.9068177845895,1441.9027272748262,-550.9175699502716,566.4386287973284,797.8328014196416,592.6177525930137,2678400
2024052706,2025,3,1957.4128030844665,1125.9602191769804,945.8790028777606,306.64879230752507,740.4761221203344,1239.8489034924817,407.5122759091195,516.3852909181167,1244.3618887250084,1189.8279442041055,1267.1549347676612,1524.8315733929267,114.42641897027431,1673.676233305291,1353.2349037340055,1602.1585639564823,2678400
2024052712,2025,3,3422.3953163972415,1641.5123110051024,1184.4932705935207,890.542785493368,800.2545498169177,964.4285037172724,698.7823219933491,641.5927122637981,1219.616945568747,2355.7327026260264,1754.976212033368,1655.812429782839,-596.3897347986184,874.1402680408221,1162.427335839196,1055.0559391901809,2678400
2024052718,2025,3,3161.06703976992,1228.6541663223575,990.1376266036931,686.0047759698588,579.8140454290805,661.0607722809397,670.4712854531407,460.18496748089774,956.4573359931352,2167.109252240528,1113.3240377619622,1297.466373599273,-942.275246843869,554.8700417401614,746.1710180208922,243.6811591207078,2678400
2024052800,2025,3,2450.950260333187,1340.4428976047748,957.877354027382,442.02661886764406,711.7243788257388,1146.0146081734408,484.8354618152128,547.942275600064,1205.0369961897793,1391.4400127232045,1443.8772780974687,1547.8180479225637,-152.6300087010302,1415.7123681315356,1268.1438099746304,1600.255313296828,2678400
2024052806,2025,3,2633.3704874472037,1732.6825399203117,1307.71163166439,768.7746348540693,961.3033020505046,1392.1736203529736,546.2608892156625,692.1658166151677,1399.3586180240923,1787.6713369785996,1990.4321002269319,1903.197353836552,407.02368413749787,1584.7022875494088,1545.2635454235976,2105.958117084884,2678400
2024052812,2025,3,2541.0783330434024,1106.7164761775819,950.2901613886509,528.4424810815061,579.2549770407904,736.2444328015958,544.8586868234307,424.62496743392086,1008.6668349562893,1737.1005292625334,1011.8646718174545,1283.9407955986026,-484.07169547716944,787.0569287608803,888.4331155667795,558.7049381535234,2678400
2024052818,2025,3,2306.7929060352,1525.8938929123588,1030.0144995421417,408.31499595877534,792.5484284878404,1266.2880573196287,442.2402527620861,624.6248141007196,1329.2138034246984,1301.7816392297614,1634.7896269809755,1717.6937011537818,249.11548641930054,1650.5214898486938,1511.5983647633323,2050.701688904996,2678400
2024052900,2025,3,2367.020436772931,1368.1546962058908,970.6108982621521,484.3980227742968,666.818459176137,1011.2840550048605,462.1668209417573,511.9151373147983,1144.4708692637769,1429.464265023529,1395.4433496420959,1418.3556070249547,-28.254842304888783,1193.7044914067008,1194.2191856368179,1384.3346916435216,2678400
2024052906,2025,3,3480.6875852709154,1732.1886662818756,1203.7847371478142,993.4265831882627,684.7650377846658,800.6630385023409,737.8943515497424,543.630230323551,1054.236240694526,2506.1097502827365,1642.9575556477196,1631.7513842894182,-544.7141818412254,492.0014930987441,859.9721194683349,768.5991896544018,2678400
2024052912,2025,3,3325.1230295235255,1445.646647041383,1174.6416832525324,832.0346324891265,871.0403412852462,1145.073863583931,673.5126051044883,669.117934612206,1254.6681610815556,2258.2676971656624,1659.232035482556,1611.0775733557512,-704.8346992296101,1184.0795723800506,1250.2734905892733,1012.0419116726448,2678400
2024052918,2025,3,3239.976830322177,1634.5836393173404,1184.669716933956,887.2854566552011,964.1131443247909,1236.7715736381713,663.2886111926817,774.1306105795516,1318.3918642538754,2207.068634773461,1863.2484803282296,1585.6616340384292,-420.7234740708804,1313.5992613077613,1429.233863640745,1241.8414795931983,2678400
2024053000,2025,3,2420.7613288663856,1654.3125915053781,1170.0246706778003,559.969914821492,928.1869585718257,1449.364918413672,498.471792108282,667.5727850547888,1438.740021991023,1533.0127990748167,1923.7643333259139,1890.325862509489,403.57593331679294,1817.5819621640062,1607.84101493753,2281.077396760586,2678400
2024053006,2025,3,1694.616488790787,1028.3320870129864,1035.8078210531112,283.33192359291945,462.5732154196791,762.6499886076886,364.41436308529114,365.4852664665455,1067.1844224831152,1095.9624181284,936.8637291379374,1417.9818432114646,369.52341927531063,941.8912804344484,1068.2553258643695,1258.8831542210023,2678400
2024053012,2025,3,3031.446214791124,1139.2688140653545,1040.5424645214669,805.3567202413386,577.9652529923009,694.7247450058327,645.231787935762,446.04145897393505,989.2480942378872,2176.5722339105832,1068.7025962420785,1343.46268289689,-851.6349362043026,467.3332777567948,790.0577652760603,235.59304522838514,2678400
2024053018,2025,3,3491.5745972257632,1589.4707373736787,1048.5707730112874,844.0718546740183,704.5700757185324,764.4593042600004,756.9806552162742,611.789292660966,1086.2287749664956,2503.0298414445806,1614.2305256056359,1462.1794141566604,-853.5330868407972,624.9575253045147,941.0374124111876,573.3800983177158,2678400
2024053100,2025,3,2091.021133941796,1233.9192636490723,933.5277590472675,384.80844147408,679.3588303584231,1037.3996723329692,436.4733159215257,500.38760294225347,1187.4266212858229,1282.9226785660271,1332.35200237406,1455.1246221770361,76.4258887545437,1331.9500612173124,1251.3409083065505,1504.5539459850688,2678400
