year,month,cfs_run,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs,seconds
2025,3,2024101459.0,2409.9986033784053,1349.17907170395,1168.461716003458,410.18693784033866,715.2890718887518,1037.7701367221507,544.0915899164285,550.7320615460962,1301.7448239025862,1565.9964305707915,1514.3375538832925,1639.6079708198963,74.13655862951418,1303.4395702898269,1306.8113108994737,1481.2070228666564,2678400
2025,4,2024102959.0,1853.3651028510965,1633.702575659521,1586.9284208123338,657.1359514882919,813.6753714867926,1067.696138919943,463.8516365893093,569.8467491357127,1338.1263866959039,1366.7015409639205,1762.6399268262217,1988.8450655493034,1272.1283006432616,1201.2787981330537,1428.0750880312933,2294.5937589252544,2592000
2025,5,2024111409.0,1147.781302560935,2051.332051635748,1557.4963532203508,1020.940970196805,889.5728186450818,685.0037687595815,459.17538061933845,607.5193112815969,923.1567352248206,1181.997624771719,2024.435897226388,1677.159558859019,2380.5091392730583,510.16930850344045,1016.4111404863844,2411.4794143126433,2678400
2025,6,2024112959.0,792.3245580220107,2422.167526178052,1314.7021684626382,1190.5346920558861,948.2076404600538,479.4534200243124,494.5797009757792,636.1089041087482,640.5010316633687,1070.5293118158977,2321.433443958379,1273.9510190364097,3020.543825996427,262.6325250938185,796.6663003472169,2589.9469412804506,2592000
2025,7,2024121459.0,673.8789768354029,2343.569572866123,1169.8909508973964,1138.8545536072068,880.7019718587754,345.08626567379366,484.6424751571413,571.231182908404,494.5583327838478,979.1509489165857,2115.1261462675343,1047.0477714831459,2956.3833655920735,107.60016926062194,602.9532340515663,2286.487498207369,2678400
2025,8,2024123009.0,721.2556286681843,2338.8600502399963,1177.538344008017,1141.4967734408613,836.1626383577092,349.3843555801494,481.4408171685675,566.8462192732769,497.17205098585123,967.5791587876764,2071.5584937833637,1047.8887169798359,2955.5570551981004,54.111853691264066,607.0432167574112,2295.042346849457,2678400
2025,9,2025011409.0,1314.0107433603391,2670.391431349291,1510.4126999184316,1275.9551183019175,867.4976685382209,490.6975822795899,511.93443492459664,603.2170366658703,660.5370923687229,1281.6785502043745,2232.7763680429084,1380.1409843342608,2832.706347055821,112.18717194329045,753.9264610412841,2351.068080801163,2592000
2025,10,2025012959.0,2169.8216764447825,2023.1205536964624,1497.429862662445,1097.3302710187127,807.8631966863653,731.1038022260557,526.4534739996458,577.8083617831937,1006.9672140326437,1638.1336921909947,1876.02824054871,1640.3245917613458,1342.544231842278,430.6276174390689,1058.4335914521923,1866.9527677254716,2678400
2025,11,2025021409.0,2710.273871335972,1478.1007119084993,1296.1444088204985,720.1787531020864,765.062655157914,1014.4203725209037,565.505057528382,579.399840422593,1305.9037209023836,1820.1162388351022,1541.426693078561,1745.1852352450564,47.813558706260686,1056.3020568141899,1320.6326435744438,1486.2890694588486,2592000
2025,12,2025022809.0,2674.7001817543387,1132.62739458369,980.721656906544,413.7952998519558,555.9988038568382,793.1321049528149,567.7369048538205,468.17377151664914,1117.2567697684833,1704.4151755999985,1072.4250117923482,1345.2497411301392,-520.6611415567749,899.5785318728574,1057.1987994194558,700.970730553676,2678400
