cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs,seconds
2024052700,2025,3,1785.4165275435973,1276.3795766241185,1137.404993412629,316.7291534933837,477.54261043510235,531.2939776300165,504.5985474013095,357.20431420138704,908.3217710062968,1268.2966570486176,1176.2265652251788,1213.5157490225915,628.3679854002667,692.1073988891177,760.9275642453093,1121.445657199153,2678400
2024052706,2025,3,1672.9065511175936,1383.406695088632,995.7375672641416,309.7560563891917,799.1573208633681,1066.3028011986432,429.12242096807614,584.2213563870287,1229.253955176512,1213.9603968046542,1146.0300363539613,1265.5738318100318,706.2376541422965,1555.7040299902021,1384.352996351204,1197.6434713593387,2678400
2024052712,2025,3,2040.356691039903,1940.9604931807676,1297.993572038546,347.0059614567355,699.8706518743619,746.189044391249,587.5504941939907,474.91222386345214,1130.443829464478,1450.9964760686655,1607.698223085155,1445.592472553943,1198.5973741794105,1099.0536634436405,1017.8055062560696,1602.2942195704325,2678400
2024052718,2025,3,1926.8083092511777,1147.9570143027154,987.4680056653943,219.55764301960204,544.825325727801,605.1672010024922,523.0926881319529,404.8166321974421,830.04036782256,1305.0149230182442,1063.0508561592478,1003.2268554228718,208.61672499015276,930.4348837106912,711.7643118880493,761.2626999533171,2678400
2024052800,2025,3,1884.2065131671177,1254.4250792532764,1100.6475674275537,266.6227656720916,712.9328449177717,1002.0110742667447,480.9374984975775,554.2103098505127,1186.1951885023905,1159.2933533461753,1719.207876432006,1467.437810737978,470.8663618852459,1448.3211891950423,1259.4679469774558,2027.3523338238085,2678400
2024052806,2025,3,1872.0508673689535,1420.118332581245,1422.5315345755,492.237176179492,1061.668057381893,1466.0136300454021,465.30225267745067,707.2809030604521,1450.2044515506216,1238.8432163201617,2020.4548879577737,1987.9631684028197,970.5992281593252,2035.4446896608906,1692.1832076893627,2769.574751429874,2678400
2024052812,2025,3,1700.974097696557,1085.6588585708366,1097.1216251364303,353.4670130003649,584.2218613791699,664.682809587261,450.2528407772293,457.3963766026321,927.5847559643457,1243.6695676046593,975.1786009295596,1168.405088456125,481.8063289178269,895.4375866008311,934.7282389118786,899.9141217810252,2678400
2024052818,2025,3,1736.5169296808333,1643.193016711093,1120.516918511981,391.841669852891,830.7616292441146,1165.7484005658198,463.16450615574826,655.1299981796266,1319.5392164694347,1114.979656141979,1808.9625743643926,1494.2152126026847,1027.1928913564739,1604.6684313222784,1511.5046027375734,2188.1982194356565,2678400
2024052900,2025,3,1730.1095095660598,1705.5443830102718,1146.7721086012684,362.512877670238,637.0131520686833,801.329107692503,498.17742903359687,480.75253170889357,1106.0456630552417,1261.908899114513,1503.656844821566,1275.1467848764653,1122.2070962312469,1075.8293464083308,1088.6207128526685,1516.8947305835186,2678400
2024052906,2025,3,2130.811458248801,1503.136751731288,1207.0222284209224,336.91934188338286,512.6731821211787,615.7602996480837,574.0444815585228,385.4340639367606,1061.1284507678881,1381.5313807464447,1618.7532763514255,1383.893117959541,579.3476931820596,791.514175568497,872.518059585061,1621.1151021750804,2678400
2024052912,2025,3,2156.433374075755,732.5618124346937,971.5655823032346,224.09074490051495,925.4265428891265,1134.986701513793,521.1008316531261,541.9055766619636,999.3731268773939,1387.6354076725452,1247.6143324436127,1329.6548609931708,-452.306064977152,1836.322410295861,1020.1779247641011,1189.6338743747967,2678400
2024052918,2025,3,2282.9190032359706,993.4179975986125,977.7996684240985,294.850784788696,963.0320966049023,1205.3735190646428,528.3091428690772,700.5726049816639,1227.6557744386091,1287.6198729088478,1360.8832598169831,1286.1344055077918,-311.70145139902644,1873.5549379287013,1399.9192894290657,1359.3977038053686,2678400
2024053000,2025,3,2088.7929230612417,2171.6299010279367,1330.5035158724768,522.7062064031052,999.8721868109087,1512.4845300693166,464.37948097095443,617.7119253923184,1573.1195887615247,1321.0474971816468,2307.3464573590195,2178.618886409018,1413.340379653405,1989.6506175249726,1726.4519803050189,3164.9178465863906,2678400
2024053006,2025,3,1816.285850281027,1135.601771784292,1287.172757853557,441.859315004558,361.5451294020833,511.9032226016093,416.08027944573854,269.234839217902,1031.3025825315353,1261.2537126456862,1081.9188795809655,1556.0554579849463,606.4887364497052,431.5890013165171,884.4571423036989,1376.7206249202256,2678400
2024053012,2025,3,1929.0246549835751,645.1535785752666,1354.722659555047,400.7177566288856,269.369809818621,308.97735462834436,482.0542262306297,193.4485840780845,884.1348516870526,1107.089594800722,543.7272348874577,1296.5546527336683,70.85156173690702,177.62942565938852,595.5291830955725,733.192248515125,2678400
2024053018,2025,3,2254.689084496705,1279.72316424576,981.5527262052648,56.21490402506295,630.1051400587398,623.2046927636981,634.6279260977266,564.9108342239978,1007.4253688959167,1396.1764907863842,1368.2968621857115,986.8979675521721,6.586921924238964,1197.0948663527945,937.708224144318,959.0181617303824,2678400
2024053100,2025,3,1590.5385340948944,1476.7882718705753,993.2028716140768,273.7167376429321,657.8156898569275,850.5181667841125,446.0260482519429,475.98686081211537,1134.3499177092133,1148.298023596268,1197.7488293132792,1241.5017989039056,879.4526664826411,1234.6171368394166,1164.310624513646,1290.952693231475,2678400
2024053106,2025,3,2095.935242770745,867.2941089474252,958.7178565728675,241.365913222288,795.1318934223789,1049.427349557666,524.4823714290949,376.4812853560074,909.3375548858334,1434.6915130487341,1267.0846418307908,1421.203302459295,-269.92324870401046,1603.1931691859786,761.3364688127458,1253.5965198519102,2678400
