cfs_run,year,month,sup_evap,sup_pcp,sup_rnoff,eri_evap,eri_pcp,eri_rnoff,ont_evap,ont_pcp,ont_rnoff,mih_evap,mih_pcp,mih_rnoff,sup_cnbs,eri_cnbs,ont_cnbs,mih_cnbs,seconds
2024052700,2025,3,2311.7637267082328,1185.7823955343251,1373.0022479947945,299.4942541109298,366.755281636826,658.8129848802295,537.2640237034568,383.06074919566345,1173.510454834289,1568.3004984651807,990.7295869182989,1504.6970758591985,247.02091682088707,726.0740124061257,1019.3071803264958,927.1261643123167,2678400
2024052706,2025,3,2061.4272732163768,1332.5709228014557,1589.0564047157927,375.9763524088379,633.7690506711149,926.4897258990289,486.3765166524534,603.5547069672075,1429.4741608981926,1461.2424385389081,846.518516840436,1626.487297716684,860.2000543008714,1184.282424161306,1546.6523512129463,1011.7633760182115,2678400
2024052712,2025,3,2764.6924635703936,1961.0222346806665,2160.273482212409,706.068504878733,676.355818715861,785.8463528608636,630.4610692601744,548.7247788670034,1545.2382633231598,2180.6844150915495,1554.4847417747014,2264.064649727769,1356.6032533226821,756.1336666979914,1463.5019729299886,1637.8649764109207,2678400
2024052718,2025,3,2430.7463122387094,1030.084936630906,1251.9977436131653,212.08563250980282,484.8994084547263,828.2899705635346,537.6366166471473,426.74853459723124,1128.1354439079223,1518.8018030831909,858.9570235839685,1318.4075199957902,-148.66363199463794,1101.103746508458,1017.2473618580061,658.5627404965677,2678400
2024052800,2025,3,1891.2366975524997,1238.8886693011389,1259.0189346152315,265.7967507585784,596.3011343885281,950.6944233762458,494.8995490992444,569.4250796136746,1270.7992269951396,1220.984423341332,1538.406225471748,1608.1340607219304,606.6709063638708,1281.1988070061957,1345.3247575095697,1925.5558628523468,2678400
2024052806,2025,3,1885.304323701204,1361.5374464840056,1668.0197232710525,464.82771191443504,886.3409889352722,1097.5283643827797,505.1093951787035,690.8681600494518,1442.6199581416704,1424.3491045046608,1804.3341109114504,1965.9885665667973,1144.252846053854,1519.041641403617,1628.378723012419,2345.973572973587,2678400
2024052812,2025,3,2284.905841819857,863.6575719387952,1592.9535361796563,387.01973548541406,450.52980977439887,634.9925413553656,547.5252466948027,443.8775599027102,1288.5069894569076,1686.3849884656593,688.3624907681252,1688.1377656266513,171.70526629859455,698.5026156443504,1184.859302664815,690.1152679291175,2678400
2024052818,2025,3,1719.4614661482697,1971.8562004538026,1365.6657885511438,231.8982706224549,713.5965300326128,1148.2751784650945,455.5926023739781,681.5494843910985,1400.4473522748879,1049.5796035189203,1787.5603194928044,1698.3954923759231,1618.0605228566767,1629.973437875252,1626.4042342920086,2436.3762083498073,2678400
2024052900,2025,3,2333.0394247675763,1869.6880983945232,1532.708547735327,352.4743089864588,554.2962940556287,896.7905585720174,543.0513705442619,565.6393357657653,1437.9849049520037,1620.8033860094204,1457.8824679306074,1893.566705271289,1069.3572213622742,1098.6125436411874,1460.5728701735068,1730.6457871924756,2678400
2024052906,2025,3,2596.9040320837266,1582.4832796523792,1497.444365685592,396.66078336589266,461.5424216889843,814.8568322972877,545.4779183024101,434.0673473293378,1344.2538052289817,1709.1501164307467,1534.6144659055844,1767.7598527254854,483.0236132542444,879.7384706203793,1232.8432342559095,1593.224202200323,2678400
2024052912,2025,3,2362.580242007857,422.0614639529851,1602.294450607187,496.69997375578777,754.6950267103524,1036.7212840962402,571.0499519882793,512.5270382091612,1296.1586795815053,1729.1458935433038,1023.0062672492502,1710.6703784265123,-338.2243274476853,1294.716337050805,1237.6357658023871,1004.5307521324589,2678400
2024052918,2025,3,2349.32538414435,786.5131702031683,1529.6146169806864,479.8860442285769,799.1215821320703,1062.2061618277853,574.1519181171284,702.0105133693182,1448.5870039994309,1656.4348389374668,1193.461324665398,1676.7129936239767,-33.1975969604956,1381.4416997312785,1576.4455992516205,1213.739479351908,2678400
2024053000,2025,3,1932.531714139238,2161.196807798974,1520.1225191399844,352.4667263635655,871.3270671742168,1259.2865422038576,465.24706799745337,658.2412660730686,1438.6018263719711,1293.5401779893887,2250.628234905108,1965.0256680819396,1748.7876127997197,1778.1468830145086,1631.596024447586,2922.113724997659,2678400
2024053006,2025,3,1720.4970554139213,1302.9548752252704,1708.8591797753909,451.0903679163587,358.0629330716574,637.7498974123565,417.5974547178155,339.086564981888,1309.9593736169745,1246.2197954289957,1128.6559205456153,1874.910482522439,1291.3169995867402,544.7224625676554,1231.4484838810465,1757.3466076390582,2678400
2024053012,2025,3,2118.625023067723,584.4528717299414,1321.0098359625088,289.0283805429242,225.72827360699765,432.44588597807484,510.3122274588341,256.36831818612814,1031.743258757744,1399.5905707560655,259.197810434343,1263.671960861378,-213.1623153752725,369.1457790421484,777.799349485038,123.27920053965542,2678400
2024053018,2025,3,3145.375034580413,1063.4393611063579,1626.5961731463156,322.82101332131083,493.8559564622375,758.2835345044504,735.2934643189024,605.8720333403602,1515.352073012417,2247.1464068567043,1145.170254036819,1870.231985477389,-455.3395003277389,929.318477645377,1385.9306420338748,768.255832657503,2678400
2024053100,2025,3,2010.383896333482,1319.5164935496052,1763.0691114626125,484.90338852421746,559.3091538262721,839.9474811621884,477.5156671976113,496.69127251390995,1411.9816387938715,1566.6739829852415,875.5831042081383,1712.8283537691675,1072.201708678736,914.3532464642433,1431.1572441101698,1021.7374749920648,2678400
