cfs_run,forecast_year,forecast_month,eri_lake,eri_land,ont_lake,ont_land,mih_lake,mih_land,sup_lake,sup_land
2024010100,2024,01,46.082797864475154,32.92265172641787,55.15306144300603,38.03085579528873,46.91786567360359,33.63750740565816,59.709882632559676,33.312943540359704
2024010100,2024,02,41.322116876681136,33.51048029605967,60.82153820140509,37.146778107916354,52.893304145062295,37.88345486012116,67.62462228935574,43.21756695564848
2024010100,2024,03,38.17599727327551,49.847830581949275,53.274774873635266,49.85010744416934,51.44323341711163,49.61106803494266,58.170250416954914,49.680589226625386
2024010100,2024,04,44.86125485377406,68.08125226479274,52.32438405442888,65.78147655281124,45.490846790340676,58.99917881357194,26.808337087666374,44.61453500757467
2024010100,2024,05,64.27640307356188,105.28780893930148,64.59006443603258,104.96005166199446,50.866354756745,89.89626452353271,9.056470665522154,53.86571797753415
2024010100,2024,06,71.81742473707929,119.4729699452376,75.1866652803702,119.10860789141009,68.99181524034579,115.20159718926512,15.156302779475052,64.65335593266886
2024010100,2024,07,92.38706759328707,144.5365853019516,93.62983896751513,137.6705729240775,79.87126445155045,133.548554681383,15.26935252672361,76.8522147701516
2024010100,2024,08,83.13393326240188,118.2409576531914,87.62244771621309,115.35556008391383,68.26118029439543,103.21815451629556,17.90572415288453,61.33002627887444
2024010100,2024,09,58.61799474595639,81.68948511388614,70.87952748713369,72.92094403157273,50.34871948361489,67.83500641695476,19.14888384828368,43.679995803955364
2024010100,2024,10,54.59130923959211,50.453960140625824,75.15919370479065,56.06544943565465,54.81624062140878,49.46262341051167,44.376313593055194,47.42660310287216
2024010106,2024,01,53.56826417180555,35.380503322051055,60.58983706415188,38.31850005345524,56.70850535914862,35.441798572689635,75.64084281519631,39.26166753333324
2024010106,2024,02,52.93589092521163,37.67146801358015,61.953353017802044,35.2801571465582,58.88504391919914,34.6303739316471,71.29102983496797,35.51053982889151
2024010106,2024,03,53.02797467511023,52.35554769752448,62.78120100756772,51.240592582797994,58.51435981687685,48.06985220982857,64.45576955745626,52.276417099495866
2024010106,2024,04,41.506975759883275,61.81123940072148,49.40159251172322,60.23375221000926,50.40654838280363,61.07875052588959,37.52097557511461,51.51593094324817
2024010106,2024,05,53.558532734136165,97.23666907489698,55.59754164893377,88.80266061930165,53.84350825753511,87.5430836975454,24.877056779228415,57.92634697584776
2024010106,2024,06,67.84159581031524,127.16831521519734,72.82849369066781,120.19536309425597,63.60469940492089,116.94869914419093,14.770010567472935,66.79876591196755
2024010106,2024,07,89.96344002384909,138.81212207753333,88.88214713820774,135.85732374713862,72.10918844448312,125.86633679887093,11.595412626858632,81.64424094991449
2024010106,2024,08,75.13655770730756,118.95431715212267,78.13968363518592,103.6026648534569,65.57623800205792,107.6679407660386,15.868990799189145,62.303925683893205
2024010106,2024,09,58.28194047594851,82.7674560389636,59.23331891499995,78.22151807567663,54.67194775731092,76.5702637120349,21.632454608952255,49.38149344241595
2024010106,2024,10,44.094216193127245,43.00922318088378,62.31363447795562,46.624520365848824,47.72927962280527,45.84981179012555,37.55035541488348,39.966181462898014
2024010112,2024,01,45.53432503589249,31.715257452471793,57.14210696618078,36.080113483530376,49.40911775372199,33.239951737674055,62.14850635717325,34.749554767895404
2024010112,2024,02,47.304881637235695,32.42219708406083,59.32151018414266,38.95547361555853,56.367410839856696,35.3921699221954,73.42801655777338,39.494966390710296
2024010112,2024,03,39.749089407930065,48.146288280291515,52.02067257053267,45.384327163918265,52.76972508266165,46.51528968126095,57.919776233079745,48.76232393758188
2024010112,2024,04,42.15598339245282,73.62723549975247,46.23061841658456,63.886904529824555,46.73738797569846,63.54790130796591,28.429319961031425,45.196708600877386
2024010112,2024,05,60.6641450724147,106.66124368759552,64.23535896571597,101.94843170524118,49.38503261923102,89.11452919219484,9.784787100614322,48.809991174734876
2024010112,2024,06,81.3643354762364,133.23448131303263,82.18902639818374,128.130454524997,75.99076136083993,129.8338903776638,16.285123281437635,75.27952970583145
2024010112,2024,07,79.73645678139088,133.32145757076992,82.14716153879654,120.06344201238096,69.33348569667154,114.86348923449351,14.826069522409098,67.60527137412154
2024010112,2024,08,81.67331520197102,118.5395644851718,88.2251092113043,113.50709487294286,65.13392576413271,100.10516540268027,18.436714252187162,58.95490089817843
2024010112,2024,09,57.09804083552359,76.45412173980183,67.64811895653598,70.60439052057312,49.58324264595307,63.57787034952078,27.45306221323606,44.22436697790115
2024010112,2024,10,38.86970392958175,49.175274044349486,53.59032752933455,47.64021006722095,36.57163879963375,41.83166075960819,26.561864757642343,34.237256466819666
2024010118,2024,01,52.412541436785,35.957339252694545,61.320137950212974,42.41283105685011,52.885123780697086,34.82350607580208,72.7504489798142,36.7273568597437
2024010118,2024,02,45.11192849819595,33.90115566306767,46.54543789495383,35.68569137568971,52.88951081764063,37.4223449474317,65.80453704353118,40.842984428467624
2024010118,2024,03,54.96091187492223,47.5779923933881,65.74512455265292,56.07697965713732,59.8606048564435,49.844522280087396,73.32141959008752,49.61263888936231
2024010118,2024,04,41.860796600200715,67.383295493391,41.59426954676314,56.240969337111636,43.7321143912749,58.46786601888572,29.869038913817413,42.88431566193023
2024010118,2024,05,68.54240557250613,107.81220029026989,70.08391024032741,98.6059386460436,64.72581072379568,101.03355543305749,19.24501429038441,51.40243678356977
2024010118,2024,06,70.68876972200921,114.50171867885028,78.33757057750007,110.4130662384145,64.68089633735119,104.8672155294073,20.360340760239378,62.418865530516904
2024010118,2024,07,86.09762693609173,138.19047316068628,90.13968090345473,137.66459165658927,76.8686346492404,126.68847978712034,17.623432777678968,75.3533976450684
