cfs_run	model	lake	component	month_0	month_1	month_2	month_3	month_4	month_5	month_6	month_7	month_8	month_9	month_10	month_11
2024-09-17 00:00:00	GP	erie	evaporation	146.2260649012772	179.26945351759448	131.7737602038012	120.84816200413283	59.34064359759206	34.352332764367894	24.174301090777604	26.596205839987945	35.98263732666459	58.43428765038055	63.20530305390251	100.29693970703372
2024-09-17 00:00:00	GP	erie	nbs	-146.4321384217251	-89.90363483719823	-44.0264158288812	85.2491619748782	82.57094117386308	227.592292307477	289.2942020247535	226.78815119172572	174.05467173378827	57.14651542051209	45.23569563060645	-90.1437366570305
2024-09-17 00:00:00	GP	erie	precipitation	55.15939939107302	75.18742053045658	74.87392794133581	93.11645063609977	61.66561076465048	86.12697241116213	86.75888553540807	79.28126225471817	84.28147723077574	63.434370267905805	75.74886340291633	43.359243171127986
2024-09-17 00:00:00	GP	erie	runoff	14.432063840081852	31.117742365163394	40.39839694024657	79.37363934872764	63.61503359692481	100.98590350405996	121.07757537885176	108.94140103336038	79.52736235580481	49.32051145451254	26.369311090984446	14.553889626539757
2024-09-17 00:00:00	GP	michigan-huron	evaporation	60.07353975701162	93.59328344030826	87.7081443841565	115.36433067467766	84.9456817767072	44.05509104709715	35.65020758280946	23.67685425610247	20.03662887060515	26.3688583447808	19.81324889003442	38.10399589907793
2024-09-17 00:00:00	GP	michigan-huron	nbs	-24.14686653485211	-6.460231610446385	25.212761203157143	39.1971082700221	35.17227488376523	110.66768615690901	118.58994907919583	132.72939172357493	145.3981430749431	85.53460571516975	83.63705404707638	32.3325854799914
2024-09-17 00:00:00	GP	michigan-huron	precipitation	43.39691667306684	77.16413232152743	66.055706734963	86.03386366510196	64.38514075473219	86.55591650884507	66.53564141423759	59.3824724993751	86.94879750800561	57.45763297238504	82.08895727325584	68.9603692297606
2024-09-17 00:00:00	GP	michigan-huron	runoff	34.59814455646182	42.91606055018589	52.95132405939237	66.16801358602434	53.73259340860209	66.34033164701617	86.05221822448725	105.99380167312141	87.83555509267791	68.3731219778407	47.937754915521914	39.46073922599051
2024-09-17 00:00:00	GP	ontario	evaporation	64.61879715838715	91.1839733940322	81.74986937000575	110.64376529724996	103.77894480086678	53.548411083516925	47.01605112346873	32.94476164471422	22.526256566231424	29.916177949027354	32.714601915759246	58.52772707453993
2024-09-17 00:00:00	GP	ontario	nbs	-11.047025945910605	4.297955736321711	82.16718723730943	145.07568445916212	152.65335443472725	295.8618151034688	326.29188662406244	282.0137452433517	243.0097757345577	108.25432489310111	57.416600752655754	6.987211238488186
2024-09-17 00:00:00	GP	ontario	precipitation	49.61180255857169	72.38526437274895	90.95484415893358	88.33671274800312	72.74694465948336	93.22448314939186	72.05734968263553	53.665792681201	77.46507299721624	57.87980932087298	56.230318106415524	58.97829606624066
2024-09-17 00:00:00	GP	ontario	runoff	58.30832209349893	74.91491349629564	90.30782810005906	151.18560697528542	129.8117656404937	170.25321380852802	202.83005207605248	198.09857823134138	161.16205409644056	89.94595637628647	50.078294016751855	42.19511725596237
2024-09-17 00:00:00	GP	superior	evaporation	51.13347124119517	93.98074009663861	98.55849466510585	124.52039183705514	105.68293615266721	62.54704377824486	49.48118111748703	30.13633869608675	19.199876433201425	17.997235100322854	5.879790935422733	21.778966958395905
2024-09-17 00:00:00	GP	superior	nbs	40.08255195587015	27.27401781998637	1.3134160735035465	-8.528092743457634	7.234216591123534	27.418608624617775	54.7244706634906	121.05989215082556	155.27088437184455	103.16114231935438	143.54385714764777	96.9560611834557
2024-09-17 00:00:00	GP	superior	precipitation	68.19873657937113	76.07605768123106	47.03976657052691	63.048314271890874	62.34834595882201	57.41069018583613	49.858083675743686	57.47239354669094	85.85135391460568	66.9378257458426	93.0387829136114	91.81364354694342
2024-09-17 00:00:00	GP	superior	runoff	36.97441538126836	44.83111471044391	43.10869887853636	42.62224987145646	36.512177581498605	33.812062182573534	40.96924475273258	74.46672673727271	82.24256151215846	65.63046632874229	55.81374094239959	46.78464469839985
2024-09-17 00:00:00	NN	erie	evaporation	139.30661010742188	163.98521423339844	131.9326934814453	112.41658020019531	73.57366943359375	40.40025329589844	26.986072540283203	34.93857192993164	17.832435607910156	35.3980712890625	57.77008819580078	101.82781982421875
2024-09-17 00:00:00	NN	erie	nbs	-86.9289321899414	-93.07455444335938	3.3972270488739014	43.438201904296875	122.82296752929688	232.46340942382812	248.567138671875	224.03904724121094	164.33663940429688	118.13038635253906	47.68771743774414	-32.78052520751953
