year,month,eri_basin,eri_lake,eri_land,ont_basin,ont_lake,ont_land,mih_basin,mih_lake,mih_land,sup_basin,sup_lake,sup_land
1979,1,265.6502106947706,267.7224426269531,265.3639160959344,265.4541676488416,268.185791015625,265.0670096329817,262.60154196265063,265.4331970214844,261.5323079427083,257.08947600441417,262.2553405761719,255.09309302098248
1979,2,263.5142621167133,265.3082275390625,263.26641042608964,260.37901379815463,263.4831237792969,259.9390600009227,260.904402446206,264.28863525390625,259.6264668305715,257.56413549664376,261.8752136230469,255.8980930525943
1979,3,273.98478125423367,272.9557189941406,274.12695171958524,273.81590997103984,274.45562744140625,273.7252437561516,270.7722005285252,271.3538818359375,270.5525206724803,266.8435485664455,268.6036071777344,266.1633657022301
1979,4,277.34749060834764,276.3537292480469,277.484783774928,277.4030029296875,277.062255859375,277.4512980303426,275.10887327717023,274.95819091796875,275.1657876968384,271.7526907208322,272.3412170410156,271.5252849685243
1979,5,284.33761861282966,281.26531982421875,284.76207873695773,284.4266180630388,282.96624755859375,284.63359562430793,281.4223010923101,279.6111755371094,282.1061584154765,278.14452283135773,276.5958251953125,278.74303457556493
1979,6,289.8720641384235,286.7620544433594,290.30173050729854,289.6231411637931,288.9681396484375,289.7159757839413,287.51515523697793,284.73126220703125,288.5663540363312,284.5235158109117,280.71026611328125,285.99717280779225
1979,7,292.99830283457146,291.7095031738281,293.1763582731548,293.1837412867053,293.4426574707031,293.147043062946,291.8807581304828,290.11688232421875,292.54681277275085,289.42079504605,284.2897644042969,291.4036808089906
1979,8,292.7891838647038,292.61700439453125,292.8129684046695,291.6673259866649,293.2012939453125,291.4499201737051,291.1584230361679,290.966796875,291.23077090581256,288.36801787628525,287.3709411621094,288.75335389399436
1979,9,289.3767530849214,289.7652893066406,289.32307293540555,287.9823829387796,290.0845947265625,287.6844280573327,288.19995284486134,288.67205810546875,288.02169553438824,285.03766868854393,285.5685119628906,284.83252548886486
1979,10,282.66548447801887,283.46954345703125,282.55439416985763,281.5556729020744,283.4120178222656,281.29256385142406,280.67901974769984,281.8298645019531,280.2444496154785,277.03349339276895,278.6471252441406,276.4098865767399
1979,11,277.6599098161466,278.8101501464844,277.5009938290245,277.53742381128774,279.3080139160156,277.2864745132566,274.9625047420509,276.486083984375,274.3871959050496,271.02824191389413,273.4085998535156,270.10835150608506
1979,12,272.57260308238125,273.84954833984375,272.39618763170745,271.0128462166622,273.3048400878906,270.6879933274637,270.4856773333198,272.4095764160156,269.7592363357544,266.6502642576722,269.776611328125,265.44207192227185
1980,1,268.28047506519823,270.2049255371094,268.0145942286441,267.4786012846848,270.3638916015625,267.06966754582925,265.7493661689398,268.222412109375,264.8155167897542,260.28880060130155,264.9839172363281,258.47434572014674
1980,2,266.6894691775989,267.97259521484375,266.51219096936677,264.16705595871497,266.5397644042969,263.83076705331877,264.2962589948975,266.8918151855469,263.3161503473918,260.0272885465074,264.3064270019531,258.3735838506326
1980,3,271.5175664824557,271.5950622558594,271.50686243960735,270.56321032293914,271.9640197753906,270.3646732840951,269.3484037864411,270.4906921386719,268.91702485084534,265.81726012832814,268.1416015625,264.91899333817076
1980,4,279.00104147850436,277.2738952636719,279.23966317427784,278.46314023774244,278.0030517578125,278.52835034948635,276.9830589366545,276.33087158203125,277.22932863235474,274.27854542348575,274.47174072265625,274.20387225512013
1980,5,286.61543600269823,283.3731384277344,287.06338400589794,285.3913071204876,284.34075927734375,285.5402031845934,283.9243470392065,280.96185302734375,285.04300451278687,283.132642197883,279.614013671875,284.4924072022457
1980,6,289.5903161550533,287.1039123535156,289.93383126509815,288.02202400996765,287.9380798339844,288.033926655927,287.0384004012398,284.07684326171875,288.1566923459371,285.6344821096837,281.2510986328125,287.32845886959973
1980,7,294.9817335536714,292.9922180175781,295.2566006309108,293.8484010893723,294.26324462890625,293.78960100309115,293.05669375673807,291.0430908203125,293.8170292377472,290.48248475173426,286.2547912597656,292.11630346290616
1980,8,295.42080406233066,294.7620544433594,295.5118155228464,294.041492751549,295.5071105957031,293.8337623415969,293.77324222211354,293.3919982910156,293.9171833197276,290.6697805996599,290.041259765625,290.91267571316297
1980,9,290.32157765647577,290.6604309082031,290.2747634084601,288.31591439082706,290.540283203125,288.000644473579,287.5850755659078,288.4561767578125,287.25619117418927,283.5707667559043,284.47003173828125,283.2232544431648
1980,10,280.8404883235865,281.8210754394531,280.7050100627698,279.8066023201778,282.2325134277344,279.4627728800135,278.8913103475012,280.1649475097656,278.4103548526764,275.94677076668575,277.6990966796875,275.26955374303566
1980,11,275.60307426673137,276.77484130859375,275.4411884107088,273.9829013166756,276.5809326171875,273.61466991995263,274.1046490443902,275.6868591308594,273.50716638565063,271.24850507714285,273.559326171875,270.3554963495627
1980,12,268.9787708789627,270.4010925292969,268.7822643079256,266.13584868332435,268.8626403808594,265.74937258742926,265.77564964943434,268.2929382324219,264.8251078923543,261.53356911670204,265.28997802734375,260.081901337521
1981,1,265.53200447214823,267.1629333496094,265.30667977584034,262.13610524144667,264.96728515625,261.734832523376,263.92184627078655,266.62054443359375,262.90280771255493,261.2085585320133,264.8966979980469,259.7832561356138
1981,2,270.36574064927294,270.53558349609375,270.3422733106111,270.5952632509429,271.8572082519531,270.4164061058225,268.22877291875886,269.3848876953125,267.792209148407,264.25000903250157,266.3630676269531,263.43340991502737
1981,3,273.4844432676459,273.17510986328125,273.52717951724406,272.30669050545526,273.6253662109375,272.11978750153787,271.82711163180085,272.4112548828125,271.6065247853597,269.0527475291285,270.4178161621094,268.5252249060399
