month,superior_target_evaporation,superior_target_precipitation,superior_target_runoff,superior_target_nbs,michigan-huron_target_evaporation,michigan-huron_target_precipitation,michigan-huron_target_runoff,michigan-huron_target_nbs,erie_target_evaporation,erie_target_precipitation,erie_target_runoff,erie_target_nbs,ontario_target_evaporation,ontario_target_precipitation,ontario_target_runoff,ontario_target_nbs
1,102.51737654166668,51.87625,31.991666666666664,-14.953432789776778,78.27898325,58.64791666666667,55.01666666666667,42.283435786157106,43.373596041666666,65.91875,80.38833333333334,141.44748022852767,93.962668375,70.77083333333333,137.33333333333334,179.98787765957903
2,56.72928629166666,32.38875,26.912499999999998,0.532491010503444,41.27169608333333,41.39125,49.0,48.879411819821776,21.647015083333333,54.56791666666667,81.39333333333333,179.4832568654515,48.44628275,55.4125,126.90416666666665,179.97631640794688
3,43.83391654166667,41.17916666666667,37.108333333333334,52.7860453961329,31.715408375,57.400416666666665,74.98333333333333,112.28039588134546,17.817835083333332,69.61333333333333,105.60333333333334,263.8712645586916,37.16357754166667,66.06666666666666,188.32083333333333,340.0487820059908
4,17.030627,51.36208333333334,80.30833333333332,144.73823010886372,11.141390458333333,67.93666666666667,110.25,166.53449003984318,7.400695625,83.72791666666667,106.66708333333334,262.50261156183166,14.187082083333332,77.60416666666667,246.3375,429.73172316687555
5,2.564960166666667,69.37708333333333,86.40416666666665,157.27476069552642,1.6589338333333332,77.685,88.33749999999999,151.41333655875601,14.137271333333333,89.29666666666667,74.34916666666666,215.86193737039204,4.941576,79.77083333333333,172.04583333333335,293.17021888796427
6,-2.6386995416666665,75.40541666666667,60.237500000000004,129.9912640407761,1.4144605,73.69583333333334,59.395833333333336,115.92680495350778,31.238941083333334,89.02041666666666,47.74125,145.07334594722465,10.8932275,74.17916666666666,99.2625,192.42547216544196
7,-0.9576898333333334,79.51833333333333,46.895833333333336,118.84344057995139,10.932325041666667,74.09625,43.0375,74.46542736977156,68.551396375,82.405,30.146666666666665,47.2891872804751,31.950011375000003,65.14166666666667,57.300000000000004,93.6137667158145
8,11.965945958333334,77.05125,36.25,80.8540236259427,33.935527416666666,79.96333333333334,35.079166666666666,33.319419617144725,114.30768812499998,84.59708333333333,25.62125,-23.40454700429605,61.88383820833334,77.69166666666668,44.675000000000004,30.033819489989487
9,48.094712879999996,80.2688,37.552,51.225083406275395,62.54953232,87.9296,37.724000000000004,17.922091853671464,158.9404186,96.8228,35.524,-50.84652355633072,77.62490616,87.88,59.464,40.488428115906686
10,70.70563127999999,75.9076,50.108000000000004,54.10947409032058,78.41246448,73.3096,52.38399999999999,9.74938314454519,176.40177068,77.4556,45.696000000000005,-54.212132261027904,81.70506016,73.27199999999999,94.88799999999999,55.73818146877286
11,100.34539559999999,63.31,47.228,23.453883845013888,96.08132739999999,79.8112,67.508,42.3353859042272,140.35628924,92.9472,75.1464,33.117143632083824,84.76831412,95.148,139.484,167.41432283452207
12,115.23111915999999,53.586400000000005,40.44,-10.08565564101322,109.19220348,65.416,67.85600000000001,31.674662571833487,96.05331436,79.456,81.3088,126.74462377711092,104.78896156,79.48,159.144,187.99594046010796
